task_id,country,evaluator_id,hire_date,task_date,task_type,accuracy,duration_sec,payment_usd
1,DE,1076,2025-01-28,2025-03-13,Image Labelling,0.969,343,1.68
2,ZA,1090,2024-09-27,2025-03-14,Image Labelling,0.961,81,0.43
3,IN,1165,2025-01-01,2025-02-02,Receipt Transcription,0.901,82,0.26
4,IT,1160,2025-04-03,2025-04-17,Image Labelling,0.949,900,3.88
5,US,1005,2024-12-07,2025-02-17,Receipt Transcription,0.892,36,0.14
6,US,1140,2025-01-20,2025-03-05,Receipt Transcription,0.926,551,3.05
7,US,1019,2024-11-20,2025-04-25,Receipt Transcription,0.925,121,0.42
8,BR,1099,2024-11-05,2025-02-06,Receipt Transcription,0.958,523,1.53
9,IN,1164,2025-01-06,2025-04-01,Receipt Transcription,1.0,48,0.21
10,IN,1044,2024-10-02,2025-02-19,Receipt Transcription,0.971,209,0.58
11,US,1080,2024-11-08,2025-03-05,Image Labelling,0.942,471,1.96
12,ZA,1058,2025-03-04,2025-03-05,Image Labelling,0.947,168,0.49
13,NG,1051,2024-12-18,2025-04-20,Image Labelling,0.964,226,0.74
14,UK,1145,2024-09-21,2025-01-27,Business Search,0.886,655,2.23
15,US,1024,2025-01-29,2025-03-01,Image Labelling,0.954,246,0.72
16,US,1122,2024-12-07,2025-04-13,Receipt Transcription,0.933,40,0.18
17,UK,1128,2024-10-22,2025-04-18,Image Labelling,0.93,231,1.11
18,IT,1040,2025-01-03,2025-02-24,Image Labelling,0.993,116,0.45
19,DE,1101,2025-02-11,2025-02-17,Business Search,1.0,91,0.43
20,UK,1017,2024-10-07,2025-03-09,Receipt Transcription,0.997,67,0.35
21,IN,1128,2025-02-27,2025-04-04,Image Labelling,0.964,50,0.25
22,US,1166,2024-09-22,2025-02-09,Receipt Transcription,0.958,562,2.51
23,UK,1158,2025-01-24,2025-04-07,Image Labelling,0.947,335,1.02
24,DE,1101,2024-10-03,2025-03-14,Image Labelling,0.953,442,1.31
25,DE,1070,2024-08-23,2025-02-08,Business Search,0.945,772,3.07
26,IN,1165,2025-01-16,2025-03-28,Business Search,0.935,40,0.18
27,US,1007,2024-09-29,2025-03-24,Receipt Transcription,0.938,432,1.75
28,IT,1161,2025-03-20,2025-03-24,Image Labelling,0.955,1082,4.0
29,IT,1072,2024-12-23,2025-04-04,Image Labelling,0.999,236,1.22
30,US,1088,2024-10-03,2025-02-12,Image Labelling,0.943,507,2.09
31,IN,1026,2025-01-13,2025-03-30,Receipt Transcription,0.945,285,0.94
32,US,1168,2024-12-19,2025-04-16,Business Search,0.936,347,1.52
33,US,1006,2025-01-19,2025-03-15,Image Labelling,0.912,174,0.55
34,BR,1031,2025-02-26,2025-03-11,Receipt Transcription,0.966,76,0.3
35,ZA,1072,2024-11-09,2025-04-08,Image Labelling,0.962,80,0.25
36,NG,1098,2024-12-18,2025-02-09,Image Labelling,0.901,930,4.0
37,UK,1111,2025-01-22,2025-02-26,Receipt Transcription,0.924,208,0.87
38,US,1143,2025-03-09,2025-04-13,Image Labelling,1.0,234,0.79
39,IN,1129,2024-10-15,2025-03-12,Image Labelling,0.945,388,2.04
40,DE,1170,2025-04-01,2025-04-12,Business Search,0.93,1272,5.03
41,US,1030,2024-11-21,2025-02-18,Image Labelling,0.91,31,0.17
42,DE,1079,2025-01-28,2025-03-03,Receipt Transcription,0.987,943,3.52
43,US,1174,2024-12-15,2025-04-11,Receipt Transcription,0.973,47,0.23
44,BR,1032,2024-09-20,2025-02-10,Business Search,0.939,157,0.57
45,UK,1144,2025-01-06,2025-04-17,Receipt Transcription,0.987,145,0.53
46,IN,1098,2024-11-05,2025-02-23,Receipt Transcription,0.943,72,0.24
47,UK,1053,2025-01-02,2025-04-24,Receipt Transcription,0.94,68,0.24
48,IT,1053,2024-12-29,2025-04-11,Business Search,0.992,110,0.49
49,IT,1178,2025-01-29,2025-03-09,Image Labelling,0.953,124,0.57
50,US,1179,2024-12-07,2025-04-03,Image Labelling,0.913,1311,6.25
51,ZA,1134,2024-10-29,2025-03-17,Business Search,0.916,86,0.31
52,IN,1181,2024-11-16,2025-04-13,Image Labelling,0.939,504,2.33
53,BR,1138,2025-02-28,2025-03-14,Image Labelling,0.932,211,1.02
54,BR,1189,2025-02-13,2025-04-25,Business Search,0.969,41022,140.93
55,IT,1029,2024-12-04,2025-02-08,Receipt Transcription,0.874,819,2.45
56,BR,1081,2024-10-13,2025-03-28,Image Labelling,0.954,231,1.18
57,US,1056,2024-10-23,2025-02-18,Image Labelling,0.964,844,2.49
58,US,1173,2024-11-20,2025-02-13,Image Labelling,0.972,732,2.56
59,US,1069,2024-09-13,2025-03-04,Image Labelling,0.912,329,1.5
60,UK,1065,2025-02-01,2025-03-01,Image Labelling,0.988,755,3.06
61,DE,1182,2024-11-27,2025-01-31,Receipt Transcription,0.919,218,1.13
62,UK,1106,2024-11-13,2025-03-06,Image Labelling,0.984,172,0.85
63,NG,1185,2025-01-21,2025-04-22,Business Search,0.885,55,0.17
64,DE,1009,2024-11-24,2025-03-10,Image Labelling,0.964,328,1.56
65,UK,1131,2024-10-09,2025-02-23,Image Labelling,0.931,46,0.21
66,IT,1073,2024-12-18,2025-04-22,Image Labelling,0.936,30,0.1
67,US,1072,2024-11-15,2025-03-13,Image Labelling,0.927,288,1.48
68,NG,1061,2024-10-16,2025-02-21,Business Search,0.961,81,0.32
69,US,1108,2024-11-18,2025-04-07,Image Labelling,0.959,250,1.21
